Time,ADS Pressure,P/F ratio,Purity
172,4.97,2.10E-07,0.994144
172,4.97,2.10E-07,0.994142
172,4.97,2.10E-07,0.994399
172,4.97,2.10E-07,0.994461
172,4.97,2.10E-07,0.994212
172,4.97,2.10E-07,0.994129
172,4.97,2.10E-07,0.994641
203,3.04,2.63E-07,0.997494
203,3.04,2.63E-07,0.98714
203,3.04,2.63E-07,0.972848
203,3.04,2.63E-07,0.966077
203,3.04,2.63E-07,0.964359
227,3.68,2.17E-07,0.938864
227,3.68,2.17E-07,0.936285
227,3.68,2.17E-07,0.935919
227,3.68,2.17E-07,0.935792
227,3.68,2.17E-07,0.936507
207,3.96,2.38E-07,0.975479
207,3.96,2.38E-07,0.988007
207,3.96,2.38E-07,0.990978
207,3.96,2.38E-07,0.991906
207,3.96,2.38E-07,0.99227
207,3.96,2.38E-07,0.992652
207,3.96,2.38E-07,0.992725
207,3.96,2.38E-07,0.992462
207,3.96,2.38E-07,0.992736
207,3.96,2.38E-07,0.992479
207,4.46,2.38E-07,0.993362
207,4.46,2.38E-07,0.995295
207,4.46,2.38E-07,0.995993
207,4.46,2.38E-07,0.99646
207,4.46,2.38E-07,0.996377
211,4.95,2.11E-07,0.99633
211,4.95,2.11E-07,0.996546
211,4.95,2.11E-07,0.996238
211,4.95,2.11E-07,0.996447
211,4.95,2.11E-07,0.996269
227,4.32,2.59E-07,0.992556
227,4.32,2.59E-07,0.981291
227,4.32,2.59E-07,0.975266
227,4.32,2.59E-07,0.972583
227,4.32,2.59E-07,0.971889
227,4.32,2.59E-07,0.972957
227,4.32,2.59E-07,0.971614
227,4.32,2.59E-07,0.971627
227,4.32,2.59E-07,0.971634
227,4.32,2.59E-07,0.971616
184,3.55,2.52E-07,0.988402
184,3.55,2.52E-07,0.995359
184,3.55,2.52E-07,0.997021
184,3.55,2.52E-07,0.997282
184,3.55,2.52E-07,0.997253
224,4.92,1.84E-07,0.996089
224,4.92,1.84E-07,0.993032
224,4.92,1.84E-07,0.991331
224,4.92,1.84E-07,0.991076
224,4.92,1.84E-07,0.990709
174,4.85,1.81E-07,0.992023
174,4.85,1.81E-07,0.993984
174,4.85,1.81E-07,0.994286
174,4.85,1.81E-07,0.994372
174,4.85,1.81E-07,0.994651
174,4.85,1.81E-07,0.994719
174,4.85,1.81E-07,0.99449
174,4.85,1.81E-07,0.994452
174,4.85,1.81E-07,0.994926
174,4.85,1.81E-07,0.995052
220,3.86,2.42E-07,0.996658
220,3.86,2.42E-07,0.985207
220,3.86,2.42E-07,0.973908
220,3.86,2.42E-07,0.969098
220,3.86,2.42E-07,0.967909
171,4.42,2.11E-07,0.986832
171,4.42,2.11E-07,0.993899
171,4.42,2.11E-07,0.995015
171,4.42,2.11E-07,0.994994
171,4.42,2.11E-07,0.995419
197,4.04,1.83E-07,0.997418
197,4.04,1.83E-07,0.997501
197,4.04,1.83E-07,0.997311
197,4.04,1.83E-07,0.997371
197,4.04,1.83E-07,0.99693
197,4.04,1.83E-07,0.996848
197,4.04,1.83E-07,0.9972
197,4.04,1.83E-07,0.99687
197,4.04,1.83E-07,0.996815
197,4.04,1.83E-07,0.996804
207,4.98,2.36E-07,0.996602
207,4.98,2.36E-07,0.996066
207,4.98,2.36E-07,0.99622
207,4.98,2.36E-07,0.996262
207,4.98,2.36E-07,0.996281
180,3.75,2.35E-07,0.996319
180,3.75,2.35E-07,0.996762
180,3.75,2.35E-07,0.997056
180,3.75,2.35E-07,0.997022
180,3.75,2.35E-07,0.997012
218,4.78,2.68E-07,0.997103
218,4.78,2.68E-07,0.995299
218,4.78,2.68E-07,0.994108
218,4.78,2.68E-07,0.993492
218,4.78,2.68E-07,0.993653
218,4.78,2.68E-07,0.99337
218,4.78,2.68E-07,0.993303
218,4.78,2.68E-07,0.993364
218,4.78,2.68E-07,0.993438
218,4.78,2.68E-07,0.993549
182,4.8,2.33E-07,0.99345
182,4.8,2.33E-07,0.995232
182,4.8,2.33E-07,0.995166
182,4.8,2.33E-07,0.995172
182,4.8,2.33E-07,0.995445
179,3.73,2.23E-07,0.996727
179,3.73,2.23E-07,0.99681
179,3.73,2.23E-07,0.997044
179,3.73,2.23E-07,0.996905
179,3.73,2.23E-07,0.997058
209,4.39,2.30E-07,0.997413
209,4.39,2.30E-07,0.996585
209,4.39,2.30E-07,0.996226
209,4.39,2.30E-07,0.996152
209,4.39,2.30E-07,0.99595
209,4.39,2.30E-07,0.995782
209,4.39,2.30E-07,0.995673
209,4.39,2.30E-07,0.995667
209,4.39,2.30E-07,0.995875
209,4.39,2.30E-07,0.996032
227,4.89,2.77E-07,0.993071
227,4.89,2.77E-07,0.991113
227,4.89,2.77E-07,0.990632
227,4.89,2.77E-07,0.990185
227,4.89,2.77E-07,0.990121
211,4.83,2.24E-07,0.993882
211,4.83,2.24E-07,0.995458
211,4.83,2.24E-07,0.995977
211,4.83,2.24E-07,0.996359
211,4.83,2.24E-07,0.996231
184,3.19,2.06E-07,0.99721
184,3.19,2.06E-07,0.997565
184,3.19,2.06E-07,0.997481
184,3.19,2.06E-07,0.997374
184,3.19,2.06E-07,0.997212
184,3.19,2.06E-07,0.997312
184,3.19,2.06E-07,0.997168
184,3.19,2.06E-07,0.997253
184,3.19,2.06E-07,0.997251
184,3.19,2.06E-07,0.997258
226,3.06,2.77E-07,0.952214
226,3.06,2.77E-07,0.908919
226,3.06,2.77E-07,0.897267
226,3.06,2.77E-07,0.894667
226,3.06,2.77E-07,0.893754
194,4.06,2.78E-07,0.972192
194,4.06,2.78E-07,0.99265
194,4.06,2.78E-07,0.99606
194,4.06,2.78E-07,0.996653
194,4.06,2.78E-07,0.996857
172,3.02,2.67E-07,0.997453
172,3.02,2.67E-07,0.997681
172,3.02,2.67E-07,0.997765
172,3.02,2.67E-07,0.997923
172,3.02,2.67E-07,0.997831
172,3.02,2.67E-07,0.997818
172,3.02,2.67E-07,0.997821
172,3.02,2.67E-07,0.997825
172,3.02,2.67E-07,0.997947
172,3.02,2.67E-07,0.997844
185,3.41,2.50E-07,0.997732
185,3.41,2.50E-07,0.997827
185,3.41,2.50E-07,0.997691
185,3.41,2.50E-07,0.997517
185,3.41,2.50E-07,0.997489
225,3.06,2.42E-07,0.961616
225,3.06,2.42E-07,0.911809
225,3.06,2.42E-07,0.897201
225,3.06,2.42E-07,0.8935
225,3.06,2.42E-07,0.892743
222,4.55,2.47E-07,0.955793
222,4.55,2.47E-07,0.979848
222,4.55,2.47E-07,0.985967
222,4.55,2.47E-07,0.987785
222,4.55,2.47E-07,0.988399
222,4.55,2.47E-07,0.988898
222,4.55,2.47E-07,0.988504
222,4.55,2.47E-07,0.988594
222,4.55,2.47E-07,0.988607
222,4.55,2.47E-07,0.988556
206,3.39,2.17E-07,0.988362
206,3.39,2.17E-07,0.98321
206,3.39,2.17E-07,0.979901
206,3.39,2.17E-07,0.978713
206,3.39,2.17E-07,0.97832
205,4.93,2.13E-07,0.988996
205,4.93,2.13E-07,0.99421
205,4.93,2.13E-07,0.995582
205,4.93,2.13E-07,0.996209
205,4.93,2.13E-07,0.996152
169,4.5,1.97E-07,0.994668
169,4.5,1.97E-07,0.994554
169,4.5,1.97E-07,0.994787
169,4.5,1.97E-07,0.994595
169,4.5,1.97E-07,0.994559
169,4.5,1.97E-07,0.994969
169,4.5,1.97E-07,0.99491
169,4.5,1.97E-07,0.994646
169,4.5,1.97E-07,0.994591
169,4.5,1.97E-07,0.994839
177,4.59,2.66E-07,0.99532
177,4.59,2.66E-07,0.995213
177,4.59,2.66E-07,0.995438
177,4.59,2.66E-07,0.995473
177,4.59,2.66E-07,0.995496
183,3.83,2.73E-07,0.99699
183,3.83,2.73E-07,0.996944
183,3.83,2.73E-07,0.997092
183,3.83,2.73E-07,0.997105
183,3.83,2.73E-07,0.997099
221,3.58,2.74E-07,0.990017
