Time,ADS Pressure,P/F ratio,Purity
215,4.76,1.79E-07,0.995392
215,4.76,1.79E-07,0.995429
215,4.76,1.79E-07,0.995445
224,4.24,1.93E-07,0.991398
224,4.24,1.93E-07,0.984991
224,4.24,1.93E-07,0.981775
224,4.24,1.93E-07,0.980521
224,4.24,1.93E-07,0.980665
224,4.24,1.93E-07,0.981
224,4.24,1.93E-07,0.980501
224,4.24,1.93E-07,0.980017
224,4.24,1.93E-07,0.979945
224,4.24,1.93E-07,0.979959
174,3.46,2.37E-07,0.990953
174,3.46,2.37E-07,0.995829
174,3.46,2.37E-07,0.996646
174,3.46,2.37E-07,0.996901
174,3.46,2.37E-07,0.997179
175,3.37,1.73E-07,0.997443
175,3.37,1.73E-07,0.997345
175,3.37,1.73E-07,0.997317
175,3.37,1.73E-07,0.997461
175,3.37,1.73E-07,0.997607
170,4.71,2.51E-07,0.995328
170,4.71,2.51E-07,0.994561
170,4.71,2.51E-07,0.994795
170,4.71,2.51E-07,0.994413
170,4.71,2.51E-07,0.994319
170,4.71,2.51E-07,0.994532
170,4.71,2.51E-07,0.994334
170,4.71,2.51E-07,0.994298
170,4.71,2.51E-07,0.994283
170,4.71,2.51E-07,0.99428
180,3.65,2.33E-07,0.996627
180,3.65,2.33E-07,0.996994
180,3.65,2.33E-07,0.997097
180,3.65,2.33E-07,0.997118
180,3.65,2.33E-07,0.997125
171,3.64,2.56E-07,0.996689
171,3.64,2.56E-07,0.996679
171,3.64,2.56E-07,0.996684
171,3.64,2.56E-07,0.996689
171,3.64,2.56E-07,0.996886
201,3.78,1.91E-07,0.997795
201,3.78,1.91E-07,0.99721
201,3.78,1.91E-07,0.996333
201,3.78,1.91E-07,0.99581
201,3.78,1.91E-07,0.995617
201,3.78,1.91E-07,0.995615
201,3.78,1.91E-07,0.995852
201,3.78,1.91E-07,0.995531
201,3.78,1.91E-07,0.995493
201,3.78,1.91E-07,0.995495
185,4.49,2.48E-07,0.995413
185,4.49,2.48E-07,0.995692
185,4.49,2.48E-07,0.996064
185,4.49,2.48E-07,0.995935
185,4.49,2.48E-07,0.996149
226,3.35,2.51E-07,0.984641
226,3.35,2.51E-07,0.941035
226,3.35,2.51E-07,0.922685
226,3.35,2.51E-07,0.918846
226,3.35,2.51E-07,0.916721
214,4.3,2.66E-07,0.968726
214,4.3,2.66E-07,0.986976
214,4.3,2.66E-07,0.991262
214,4.3,2.66E-07,0.992778
214,4.3,2.66E-07,0.993177
214,4.3,2.66E-07,0.993319
214,4.3,2.66E-07,0.993173
214,4.3,2.66E-07,0.993201
214,4.3,2.66E-07,0.99337
214,4.3,2.66E-07,0.993346
202,4.21,2.16E-07,0.994914
202,4.21,2.16E-07,0.995514
202,4.21,2.16E-07,0.995937
202,4.21,2.16E-07,0.995875
202,4.21,2.16E-07,0.995892
175,4.62,1.92E-07,0.994917
175,4.62,1.92E-07,0.994901
175,4.62,1.92E-07,0.994939
175,4.62,1.92E-07,0.994951
175,4.62,1.92E-07,0.994964
204,3.72,2.02E-07,0.997466
204,3.72,2.02E-07,0.996894
204,3.72,2.02E-07,0.995323
204,3.72,2.02E-07,0.994383
204,3.72,2.02E-07,0.994017
204,3.72,2.02E-07,0.994066
204,3.72,2.02E-07,0.993847
204,3.72,2.02E-07,0.993837
204,3.72,2.02E-07,0.993848
204,3.72,2.02E-07,0.993851
212,3.25,2.04E-07,0.983251
212,3.25,2.04E-07,0.967456
212,3.25,2.04E-07,0.960538
212,3.25,2.04E-07,0.958638
212,3.25,2.04E-07,0.958147
209,4.69,2.19E-07,0.98328
209,4.69,2.19E-07,0.992755
209,4.69,2.19E-07,0.994776
209,4.69,2.19E-07,0.995759
209,4.69,2.19E-07,0.995677
198,4.39,2.09E-07,0.995844
198,4.39,2.09E-07,0.996662
198,4.39,2.09E-07,0.996757
198,4.39,2.09E-07,0.996619
198,4.39,2.09E-07,0.996805
198,4.39,2.09E-07,0.997016
198,4.39,2.09E-07,0.997039
198,4.39,2.09E-07,0.997062
198,4.39,2.09E-07,0.996915
198,4.39,2.09E-07,0.99668
177,4.07,2.37E-07,0.996031
177,4.07,2.37E-07,0.996449
177,4.07,2.37E-07,0.996646
177,4.07,2.37E-07,0.996259
177,4.07,2.37E-07,0.996184
220,4.45,2.72E-07,0.997
220,4.45,2.72E-07,0.993003
220,4.45,2.72E-07,0.98886
220,4.45,2.72E-07,0.986938
220,4.45,2.72E-07,0.986577
186,4.48,2.01E-07,0.991366
186,4.48,2.01E-07,0.995027
186,4.48,2.01E-07,0.995718
186,4.48,2.01E-07,0.995903
186,4.48,2.01E-07,0.996209
